"QUANTITY","STATE_CODE","STATE_NAME","URL"
1,"AC","AC, Acre","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=AC&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"AL","AL, Alagoas","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=AL&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
1,"AM","AM, Amazonas","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=AM&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"AP","AP, Amapá","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=AP&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
7,"BA","BA, Bahia","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=BA&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
5,"CE","CE, Ceará","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=CE&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
43,"DF","DF, Distrito Federal","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=DF&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
2,"ES","ES, Espírito Santo","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=ES&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
3,"GO","GO, Goiás","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=GO&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
2,"MA","MA, Maranhão","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=MA&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
22,"MG","MG, Minas Gerais","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=MG&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
1,"MS","MS, MatoGrosso do Sul","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=MS&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"MT","MT, MatoGrosso","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=MT&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"PA","PA, Pará","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=PA&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
5,"PB","PB, Paraíba","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=PB&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
19,"PE","PE, Pernambuco","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=PE&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"PI","PI, Piauí","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=PI&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
9,"PR","PR, Paraná","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=PR&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
12,"RJ","RJ, Rio de Janeiro","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=RJ&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"RN","RN, Rio Grande do Norte","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=RN&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"RO","RO, Rondônia","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=RO&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"RR","RR, Roraima","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=RR&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
9,"RS","RS, Rio Grande do Sul","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=RS&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
14,"SC","SC, Santa Catarina","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=SC&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"SE","SE, Sergipe","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=SE&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
84,"SP","SP, São Paulo","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=SP&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,"TO","TO, Tocantins","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=30&sid=TO&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
